iter	Logloss
123	0.5876670689
124	0.5874534832
125	0.5873145002
126	0.587149738
127	0.5869004923
128	0.5867676841
129	0.5866014581
130	0.5863182246
131	0.5861438915
132	0.5859783117
133	0.5858458335
134	0.5857162352
135	0.5855506447
136	0.585337628
137	0.5851504282
138	0.5849993366
139	0.5847475016
140	0.5845660878
141	0.5844368409
142	0.5842337619
143	0.584114348
144	0.5840034321
145	0.5838348796
146	0.5836648473
147	0.5835397578
148	0.5833536817
149	0.5831725077
150	0.5830004066
151	0.5828278621
152	0.5826680018
153	0.5825443822
154	0.5823847219
155	0.5822044188
156	0.5819836376
157	0.5817855864
158	0.5815778807
159	0.581467302
160	0.5812638479
161	0.5810863636
162	0.5809177429
163	0.5808108992
164	0.580675765
165	0.5805256779
166	0.580378563
167	0.5801613093
168	0.5800135121
169	0.5799083941
170	0.5797273564
171	0.5795369422
172	0.5794211084
173	0.5792796636
174	0.579109611
175	0.5789283561
176	0.5787221276
177	0.5785492313
178	0.5784357577
179	0.5782596417
180	0.5780954864
181	0.5779255536
182	0.5777259677
183	0.5775830941
184	0.5774024472
185	0.5772505264
186	0.5770384426
187	0.5768542681
188	0.5766739318
189	0.5764697256
190	0.576265886
191	0.5760773899
192	0.5759335226
193	0.5757095447
194	0.5755284484
195	0.5753413782
196	0.5751655331
197	0.5749902906
198	0.5748480454
199	0.5746804266
200	0.5745037709
201	0.5743426979
202	0.5742362952
203	0.5740629341
204	0.5738358322
205	0.5736673257
206	0.573467658
207	0.5732989279
208	0.5731042542
209	0.5729764805
210	0.5727659617
211	0.5725921838
212	0.5724344201
213	0.5722169882
214	0.5720613945
215	0.5718751111
216	0.5716874431
217	0.5715165074
218	0.5713300114
219	0.5711495731
220	0.5709429946
221	0.5707116348
222	0.5704863547
223	0.5703252773
224	0.5701256814
225	0.5699643602
226	0.5698319072
227	0.5697017641
228	0.5695554434
229	0.5693850411
230	0.5691739586
231	0.5689770054
232	0.5687619955
233	0.5685795601
234	0.5683884396
235	0.5681427055
236	0.5678978065
237	0.5676228379
238	0.5673921748
239	0.5671689061
240	0.56697563
241	0.5668250931
242	0.5666578761
243	0.5664778285
244	0.5661638999
245	0.5659970534
246	0.5658348964
247	0.5656324571
248	0.5654153355
249	0.5652516969
250	0.5650051633
251	0.5648016902
252	0.5646568857
253	0.5643697332
254	0.5641872551
255	0.5639898646
256	0.5637958693
257	0.5636524562
258	0.5633892657
259	0.5631750207
260	0.5629241866
261	0.5627739408
262	0.5624907903
263	0.5623000001
264	0.5620658544
265	0.5618683963
266	0.5616702377
267	0.5614068301
268	0.5611268074
269	0.5608933242
270	0.5607370958
271	0.560504424
272	0.560261921
273	0.5600348789
274	0.5597981853
275	0.5595908192
276	0.5593903617
277	0.55916654
278	0.5589267508
279	0.558734565
280	0.5585428809
281	0.5583097213
282	0.5580777262
283	0.5578525691
284	0.557618109
285	0.5573711278
286	0.5571899066
287	0.556945507
288	0.5567859752
289	0.5565801399
290	0.5563672907
291	0.5561623899
292	0.5558713376
293	0.555668629
294	0.5554596993
295	0.5552367564
296	0.5550321839
297	0.5547550417
298	0.5545070951
299	0.5543402732
300	0.5540903863
301	0.553861132
302	0.5535753602
303	0.5533752736
304	0.5532006555
305	0.5529371186
306	0.5527131404
307	0.5525028659
308	0.5522491862
309	0.552005284
310	0.5517887396
311	0.5515792146
312	0.5513380672
313	0.5510765949
314	0.5508399599
315	0.5505721634
316	0.5503033623
317	0.5500942062
318	0.5498560891
319	0.5496328239
320	0.549421888
321	0.5491626088
322	0.5489500561
323	0.5487199873
324	0.548477287
325	0.5482697573
326	0.5480651302
327	0.5478272223
328	0.5475624004
329	0.5473582434
330	0.5470932997
331	0.5469114195
332	0.5466905042
333	0.5465093152
334	0.5462854535
335	0.5460812343
336	0.5458857007
337	0.5456850747
338	0.5454688932
339	0.5452413378
340	0.5450673659
341	0.5448563073
342	0.5446173165
343	0.5443400755
344	0.5441405936
345	0.5438965851
346	0.5436811163
347	0.543475899
348	0.5432368798
349	0.5430420461
